Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-916648.1035408564 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1378.4%	3446000	11159.000000421547	-916680.2581383819	297.64666427424504	91.2	20:38:12
1378.6%	3446500	11161.000000421955	-915558.2292165817	298.9120718844009	91.1	20:37:55
1378.8%	3447000	11163.000000422362	-914621.9947484257	298.94536410735446	91.2	20:38:02
1379.0%	3447500	11165.00000042277	-914473.2891522362	297.93664605670256	91.2	20:38:08
1379.2%	3448000	11167.000000423177	-916061.2415617583	297.819312211482	91.1	20:37:52
1379.4%	3448500	11169.000000423584	-919214.3692320958	299.45388384894943	91.2	20:37:58
1379.6%	3449000	11171.000000423992	-914468.1689006155	298.462396795564	91.2	20:38:04
1379.8%	3449500	11173.0000004244	-913969.0708910516	297.41193471619624	91.1	20:37:48
1380.0%	3450000	11175.000000424807	-916272.0739585985	299.3762763018615	91.1	20:37:37
1380.2%	3450500	11177.000000425214	-916406.7289585173	298.32594955189626	91	20:37:21
1380.4%	3451000	11179.000000425622	-915041.510653622	296.37595767739606	91	20:37:27
1380.6%	3451500	11181.00000042603	-916397.5609548148	298.11609239783286	91.1	20:37:34
1380.8%	3452000	11183.000000426437	-917835.1640512743	298.7988100882438	91	20:37:18
1381.0%	3452500	11185.000000426844	-916608.4020313174	298.07213168796915	91	20:37:24
1381.2%	3453000	11187.000000427252	-917274.7589197429	298.15840187395406	91.1	20:37:30
1381.4%	3453500	11189.000000427659	-917101.1880218536	298.55687180480135	91	20:37:14
1381.6%	3454000	11191.000000428066	-917841.4627541667	297.4646729698408	91.1	20:37:20
1381.8%	3454500	11193.000000428474	-916398.8782750759	298.19884238856173	91.1	20:37:25
1382.0%	3455000	11195.000000428881	-916401.677040657	298.4626855026425	91	20:37:09
1382.2%	3455500	11197.000000429289	-914262.5579723925	298.66080153072824	91.1	20:37:15
1382.4%	3456000	11199.000000429696	-914848.4453202747	298.98265625023583	91.1	20:37:21
1382.6%	3456500	11201.000000430104	-914859.0394019121	297.69755722050326	91	20:37:05
1382.8%	3457000	11203.000000430511	-916140.0189432134	297.8676918935914	91.1	20:37:11
1383.0%	3457500	11205.000000430919	-915856.1429971335	299.31325904440405	91.1	20:37:16
1383.2%	3458000	11207.000000431326	-917839.7631956651	298.6578588757181	91	20:37:00
1383.4%	3458500	11209.000000431733	-915030.8622917715	299.3812759546638	91.1	20:37:05
1383.6%	3459000	11211.000000432141	-915344.5144242155	299.2919805447148	91.1	20:37:10
1383.8%	3459500	11213.000000432548	-916337.3019485073	298.0076012243647	91.2	20:37:16
1384.0%	3460000	11215.000000432956	-916725.5030048294	298.12833543146496	91.1	20:37:02
1384.2%	3460500	11217.000000433363	-915629.4636713061	299.01741463161	91.1	20:37:07
1384.4%	3461000	11219.00000043377	-916753.569688803	299.20847159965064	91.2	20:37:12
1384.6%	3461500	11221.000000434178	-916151.8692207113	298.5799347214394	91.1	20:36:58
1384.8%	3462000	11223.000000434586	-915452.3668398396	298.074768905968	91.2	20:37:03
1385.0%	3462500	11225.000000434993	-914664.2474131109	298.40526562244565	91.1	20:36:47
1385.2%	3463000	11227.0000004354	-914317.0782214133	297.60754279137905	91.1	20:36:53
1385.4%	3463500	11229.000000435808	-916129.126326398	300.68408605790114	91.2	20:36:58
1385.6%	3464000	11231.000000436215	-914534.5591532728	299.0339306522697	91.2	20:37:03
1385.8%	3464500	11233.000000436623	-916484.5010796306	298.9202800984754	91.1	20:36:48
1386.0%	3465000	11235.00000043703	-914851.8830337329	298.5892557243987	91.2	20:36:53
1386.2%	3465500	11237.000000437438	-915622.6403957289	297.8932204474951	91.1	20:36:38
1386.4%	3466000	11239.000000437845	-914963.2721002381	297.9647466958242	91.1	20:36:43
1386.6%	3466500	11241.000000438253	-915395.654418584	298.6015333109941	91.2	20:36:48
1386.8%	3467000	11243.00000043866	-914128.8196371123	299.47196549285894	91.2	20:36:52
1387.0%	3467500	11245.000000439068	-918389.2379836133	298.1221719777226	91.1	20:36:39
1387.2%	3468000	11247.000000439475	-915831.0560826259	299.1832061256748	91.2	20:36:44
1387.4%	3468500	11249.000000439883	-915653.7237113956	297.4728412945102	91.2	20:36:49
1387.6%	3469000	11251.00000044029	-913809.1070315316	297.5435541346272	91.1	20:36:35
1387.8%	3469500	11253.000000440697	-915408.5430017794	299.6715664632478	91.2	20:36:40
1388.0%	3470000	11255.000000441105	-913034.4879045812	297.91800264407544	91.2	20:36:44
1388.2%	3470500	11257.000000441512	-913903.0463990127	297.9125702696296	91.2	20:36:31
1388.4%	3471000	11259.00000044192	-916256.1706056558	299.0252664179954	91.2	20:36:36
1388.6%	3471500	11261.000000442327	-915272.3097213851	297.32891141415456	91.3	20:36:41
1388.8%	3472000	11263.000000442735	-916190.3612899883	299.4912492849093	91.2	20:36:28
1389.0%	3472500	11265.000000443142	-917307.6083998615	300.13359117124395	91.2	20:36:32
1389.2%	3473000	11267.00000044355	-917297.3649032535	298.95908337694715	91.1	20:36:17
1389.4%	3473500	11269.000000443957	-913930.6133607742	298.9679675775996	91.2	20:36:22
1389.6%	3474000	11271.000000444365	-917279.7411524625	297.4757913689279	91.2	20:36:26
1389.8%	3474500	11273.000000444772	-916768.1439258596	298.4560874091589	91.3	20:36:31
1390.0%	3475000	11275.00000044518	-914173.11278927	297.35661650781896	91.1	20:36:05
1390.2%	3475500	11277.000000445587	-917851.4585632132	298.25318032984325	91.1	20:36:09
1390.4%	3476000	11279.000000445994	-916710.5325454874	301.33879323898134	91.1	20:35:57
1390.6%	3476500	11281.000000446402	-917423.4932414116	299.4126041884127	91.1	20:36:01
1390.8%	3477000	11283.00000044681	-917065.1964233019	298.7869990171028	91.2	20:36:05
1391.0%	3477500	11285.000000447217	-914991.0333651435	297.36190665003033	91.1	20:35:53
1391.2%	3478000	11287.000000447624	-915943.8514095815	298.09640618116686	91.1	20:35:57
1391.4%	3478500	11289.000000448032	-918108.4428367857	299.4001782593683	91.2	20:36:01
1391.6%	3479000	11291.00000044844	-915319.591989507	297.51583383989885	91.1	20:35:48
1391.8%	3479500	11293.000000448847	-914171.998348455	298.7322240199361	91.1	20:35:52
